#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2023-04-06 08:38:50 EDT     (vaww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09246500 ELKHEAD CREEK NEAR CRAIG, CO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s
USGS	09246500	59	2012-08-22 11:03:00	MDT	Yes	CNM JPS	USGS	2.22	38.2	Good		0.70	Clear	NONE
USGS	09246500	61	2012-10-03 12:13:00	MDT	Yes	CNM	USGS	1.86	9.69	Good		0.60	Clear	NONE
USGS	09246500	62	2012-12-05 15:53:00	MST	Yes	JPS	USGS	1.71	0.40	Poor	0.00	0.70	DebrisHeavy	NONE
USGS	09246500	63	2013-01-04 12:11:00	MST	Yes	JPS	USGS	1.53	0.06	Poor	0.00	0.30	IceCover	NONE
USGS	09246500	64	2013-02-07 15:50:00	MST	Yes	CNM	USGS	1.70	1.59	Poor		0.60	IceCover	NONE
USGS	09246500	65	2013-03-27 10:35:00	MDT	Yes	CNM	USGS	1.79	3.92	Good	0.00	0.70	DebrisHeavy	NONE
USGS	09246500	66	2013-03-27 11:43:00	MDT	Yes	CNM	USGS	1.79	3.97	Fair		0.50	DebrisHeavy	NONE
USGS	09246500	67	2013-03-27 14:13:00	MDT	Yes	CNM	USGS	1.77	4.31	Fair		0.50	DebrisHeavy	NONE
USGS	09246500	68	2013-05-01 13:06:00	MDT	Yes	CNM	USGS	3.70	404	Fair		0.30	Clear	NONE
USGS	09246500	69	2013-05-13 17:00:00	MDT	Yes	CNM	USGS	4.27	597	Fair		0.30	DebrisLight	OTHR
USGS	09246500	70	2013-05-29 15:43:00	MDT	Yes	JPS	USGS	2.91	171	Poor	0.01	1.10	Clear	NONE
USGS	09246500	71	2013-05-30 10:35:00	MDT	Yes	JPS	USGS	2.61	106	Poor	-0.05	0.90	Clear	NONE
USGS	09246500	72	2013-05-30 12:34:00	MDT	Yes	JPS	USGS	2.42	66.0	Poor	0.09	0.60	Clear	NONE
USGS	09246500	73	2013-06-26 11:13:00	MDT	Yes	JPS	USGS	1.60	0.16	Poor	0.00	0.30	VegetationHeavy	NONE
USGS	09246500	74	2013-06-26 11:43:00	MDT	Yes	JPS	USGS	1.60	0.21	Poor	0.00	0.40	VegetationHeavy	NONE
USGS	09246500	75	2013-08-15 09:58:00	MDT	Yes	cnm	USGS	2.28	49.4	Good		0.60	Clear	NONE
USGS	09246500	76	2013-08-27 17:51:00	MDT	Yes	CNM	USGS	2.58	97.0	Fair		0.80	Clear	NONE
USGS	09246500	77	2013-09-24 16:46:00	MDT	Yes	CNM/JPS	USGS	2.02	4.09	Fair		0.50	Clear	NONE
USGS	09246500	78	2013-09-24 17:49:00	MDT	Yes	CNM/JPS	USGS	1.68	4.66	Fair		0.50	Clear	NONE
USGS	09246500	79	2013-10-22 15:50:00	MDT	Yes	CNM	USGS	2.78	15.2	Fair		0.40	Clear	NONE
USGS	09246500	80	2013-10-22 17:18:00	MDT	Yes	CNM	USGS	1.94	15.3	Fair		0.50	Clear	NONE
USGS	09246500	81	2013-11-08 09:40:00	MST	Yes	CNM JPS	USGS	2.50	3.94	Poor		0.50	DebrisHeavy	NONE
USGS	09246500	82	2013-11-08 11:55:00	MST	Yes	CNM JPS	USGS	1.69	4.20	Poor		0.50	DebrisHeavy	NONE
USGS	09246500	83	2013-11-19 12:17:00	MST	Yes	CNM	USGS	2.11	4.22	Fair	0.00	0.50	DebrisHeavy	NONE
USGS	09246500	84	2013-11-19 14:31:00	MST	Yes	CNM	USGS	1.66	4.37	Fair	0.00	0.50	DebrisHeavy	NONE
USGS	09246500	85	2013-12-02 15:24:00	MST	Yes	CNM	USGS	1.66	4.20	Fair		0.50	Clear	NONE
USGS	09246500	86	2014-02-05 13:29:00	MST	Yes	CNM	USGS	2.02	2.45	Poor		0.50	IceCover	NONE
USGS	09246500	87	2014-03-24 15:47:00	MDT	Yes	CNM	USGS	2.31	51.8	Good		0.50	Clear	NONE
